ECG,Heart Rate
-0.0479126,82
-0.0463867,82
-0.0445557,82
-0.0430298,82
-0.0415039,82
-0.039978,82
-0.0384521,82
-0.0372314,82
-0.0360107,82
-0.0344849,82
-0.0332642,82
-0.0317383,82
-0.0305176,82
-0.0296021,82
-0.0289917,82
-0.0289917,82
-0.0296021,82
-0.0302124,82
-0.0308228,82
-0.0314331,82
-0.0320435,82
-0.0323486,82
-0.0326538,82
-0.032959,82
-0.032959,82
-0.0326538,82
-0.0326538,82
-0.0323486,82
-0.0317383,82
-0.0314331,82
-0.0305176,82
-0.0296021,82
-0.0283813,82
-0.0268555,82
-0.0250244,82
-0.0231934,82
-0.0213623,82
-0.0195313,82
-0.017395,82
-0.015564,82
-0.0137329,82
-0.0115967,82
-0.00946045,82
-0.00732422,82
-0.00549316,82
-0.00366211,82
-0.00183105,82
-0.000610352,82
0.000915527,82
0.00183105,82
0.00274658,82
0.00366211,82
0.00457764,82
0.00549316,82
0.00671387,82
0.00823975,82
0.00976563,82
0.0112915,82
0.0125122,82
0.0137329,82
0.0149536,82
0.0164795,82
0.0177002,82
0.0192261,82
0.020752,82
0.0222778,82
0.0238037,82
0.0250244,82
0.0259399,82
0.0268555,82
0.027771,82
0.0286865,82
0.0296021,82
0.0308228,82
0.0317383,82
0.032959,82
0.0341797,82
0.0354004,82
0.0369263,82
0.038147,82
0.0396729,82
0.0411987,82
0.0430298,82
0.0448608,82
0.0469971,82
0.0494385,82
0.0521851,82
0.0549316,82
0.0579834,82
0.0613403,82
0.0646973,82
0.0680542,82
0.0717163,82
0.0750732,82
0.0784302,82
0.0817871,82
0.0854492,82
0.0891113,82
0.0927734,82
0.0964355,82
0.0997925,82
0.103149,82
0.106201,82
0.108948,82
0.111694,82
0.114441,82
0.117188,82
0.119629,82
0.122375,82
0.124817,82
0.127258,82
0.130005,82
0.132751,82
0.135498,82
0.138245,82
0.140991,82
0.143433,82
0.146179,82
0.149231,82
0.152588,82
0.15564,82
0.158997,82
0.162048,82
0.165405,82
0.168152,82
0.170898,82
0.17334,82
0.175781,82
0.178223,82
0.180664,82
0.183105,82
0.185242,82
0.187378,82
0.188904,82
0.190125,82
0.190735,82
0.19104,82
0.19104,82
0.190735,82
0.19043,82
0.189819,82
0.188904,82
0.187988,82
0.187073,82
0.185852,82
0.184326,82
0.182495,82
0.180054,82
0.177612,82
0.174561,82
0.171204,82
0.167847,82
0.164185,82
0.160522,82
0.15625,82
0.151672,82
